SWITCH     SWITCH     SWITCH     SWITCH     SWITCH     SWITCH     LED       LED       LED       LED       LED       LED       
L	    L	    L	    L	    L	    L	    L	    L	    L	    L	    L	    L	    
H	    L	    L	    L	    L	    L	    L	    L	    L	    H	    L	    L	    
L	    H	    L	    L	    L	    L	    L	    L	    L	    L	    H	    L	    
H	    H	    L	    L	    L	    L	    L	    L	    L	    H	    H	    L	    
L	    L	    H	    L	    L	    L	    L	    L	    L	    L	    L	    H	    
H	    L	    H	    L	    L	    L	    L	    L	    L	    H	    L	    H	    
L	    H	    H	    L	    L	    L	    L	    L	    L	    L	    H	    H	    
H	    H	    H	    L	    L	    L	    L	    L	    L	    H	    H	    H	    
L	    L	    L	    H	    L	    L	    H	    L	    L	    L	    L	    L	    
H	    L	    L	    H	    L	    L	    H	    L	    L	    H	    L	    L	    
L	    H	    L	    H	    L	    L	    H	    L	    L	    L	    H	    L	    
H	    H	    L	    H	    L	    L	    H	    L	    L	    H	    H	    L	    
L	    L	    H	    H	    L	    L	    H	    L	    L	    L	    L	    H	    
H	    L	    H	    H	    L	    L	    H	    L	    L	    H	    L	    H	    
L	    H	    H	    H	    L	    L	    H	    L	    L	    L	    H	    H	    
H	    H	    H	    H	    L	    L	    H	    L	    L	    H	    H	    H	    
L	    L	    L	    L	    H	    L	    L	    H	    L	    L	    L	    L	    
H	    L	    L	    L	    H	    L	    L	    H	    L	    H	    L	    L	    
L	    H	    L	    L	    H	    L	    L	    H	    L	    L	    H	    L	    
H	    H	    L	    L	    H	    L	    L	    H	    L	    H	    H	    L	    
L	    L	    H	    L	    H	    L	    L	    H	    L	    L	    L	    H	    
H	    L	    H	    L	    H	    L	    L	    H	    L	    H	    L	    H	    
L	    H	    H	    L	    H	    L	    L	    H	    L	    L	    H	    H	    
H	    H	    H	    L	    H	    L	    L	    H	    L	    H	    H	    H	    
L	    L	    L	    H	    H	    L	    H	    H	    L	    L	    L	    L	    
H	    L	    L	    H	    H	    L	    H	    H	    L	    H	    L	    L	    
L	    H	    L	    H	    H	    L	    H	    H	    L	    L	    H	    L	    
H	    H	    L	    H	    H	    L	    H	    H	    L	    H	    H	    L	    
L	    L	    H	    H	    H	    L	    H	    H	    L	    L	    L	    H	    
H	    L	    H	    H	    H	    L	    H	    H	    L	    H	    L	    H	    
L	    H	    H	    H	    H	    L	    H	    H	    L	    L	    H	    H	    
H	    H	    H	    H	    H	    L	    H	    H	    L	    H	    H	    H	    
L	    L	    L	    L	    L	    H	    L	    L	    H	    L	    L	    L	    
H	    L	    L	    L	    L	    H	    L	    L	    H	    H	    L	    L	    
L	    H	    L	    L	    L	    H	    L	    L	    H	    L	    H	    L	    
H	    H	    L	    L	    L	    H	    L	    L	    H	    H	    H	    L	    
L	    L	    H	    L	    L	    H	    L	    L	    H	    L	    L	    H	    
H	    L	    H	    L	    L	    H	    L	    L	    H	    H	    L	    H	    
L	    H	    H	    L	    L	    H	    L	    L	    H	    L	    H	    H	    
H	    H	    H	    L	    L	    H	    L	    L	    H	    H	    H	    H	    
L	    L	    L	    H	    L	    H	    H	    L	    H	    L	    L	    L	    
H	    L	    L	    H	    L	    H	    H	    L	    H	    H	    L	    L	    
L	    H	    L	    H	    L	    H	    H	    L	    H	    L	    H	    L	    
H	    H	    L	    H	    L	    H	    H	    L	    H	    H	    H	    L	    
L	    L	    H	    H	    L	    H	    H	    L	    H	    L	    L	    H	    
H	    L	    H	    H	    L	    H	    H	    L	    H	    H	    L	    H	    
L	    H	    H	    H	    L	    H	    H	    L	    H	    L	    H	    H	    
H	    H	    H	    H	    L	    H	    H	    L	    H	    H	    H	    H	    
L	    L	    L	    L	    H	    H	    L	    H	    H	    L	    L	    L	    
H	    L	    L	    L	    H	    H	    L	    H	    H	    H	    L	    L	    
L	    H	    L	    L	    H	    H	    L	    H	    H	    L	    H	    L	    
H	    H	    L	    L	    H	    H	    L	    H	    H	    H	    H	    L	    
L	    L	    H	    L	    H	    H	    L	    H	    H	    L	    L	    H	    
H	    L	    H	    L	    H	    H	    L	    H	    H	    H	    L	    H	    
L	    H	    H	    L	    H	    H	    L	    H	    H	    L	    H	    H	    
H	    H	    H	    L	    H	    H	    L	    H	    H	    H	    H	    H	    
L	    L	    L	    H	    H	    H	    H	    H	    H	    L	    L	    L	    
H	    L	    L	    H	    H	    H	    H	    H	    H	    H	    L	    L	    
L	    H	    L	    H	    H	    H	    H	    H	    H	    L	    H	    L	    
H	    H	    L	    H	    H	    H	    H	    H	    H	    H	    H	    L	    
L	    L	    H	    H	    H	    H	    H	    H	    H	    L	    L	    H	    
H	    L	    H	    H	    H	    H	    H	    H	    H	    H	    L	    H	    
L	    H	    H	    H	    H	    H	    H	    H	    H	    L	    H	    H	    
H	    H	    H	    H	    H	    H	    H	    H	    H	    H	    H	    H	    
